Code,Basin Area (m2),Flooplains Area (m2/m2),Type,Aquifer Code,From Node,To Node,Sw,Sg,Vh (mm),a,b,c,d,Sup (%),Trp (%),Tpr (%),Q_Umb (mm),V_Umb (mm),ID_Dm_Agri,ID_Dm_Dom,ID_Dm_Liv,ID_Dm_Hy,ID_Dm_Min,ID_Re_Agri,ID_Re_Dom,ID_Re_Liv,ID_Re_Hy,ID_Re_Min
1700,148035168,0,0,0,1710,1756,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1727,49703040,0,0,0,1746,1756,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1738,46272384,0,0,0,1756,1803,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1760,64282464,0,0,0,1781,1803,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1785,95898816,0,0,0,1803,1874,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1851,5319504,0,0,0,1874,1892,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1858,122247072,0,0,0,1882,1874,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1871,109036512,0,0,0,1886,1892,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1872,19684368,0,0,0,1892,1934,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1914,16111008,0,0,0,1934,1993,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1915,89211744,0,0,0,1935,1934,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1943,294783552,0,0,0,1998,1993,100,80,0,0.990527104,869.3278208,0.573727896,0.883165939,0.85955973,0,0,0,0,1,1,1,1,1,1,1,1,1,1
